codigo;empresas;caminhos
10832;NICE FOODS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10832\Saida\2024\Maio
10833;NICE FOODS ECOMMERCE LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10833\Saida\2024\Maio
10834;NICE FOODS ECOMMERCE LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10834\Saida\2024\Maio
10835;MATOSO COMERCIO LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10835\Saida\2024\Maio
10837;R831 COMERCIO E DISTRIBUICAO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
10839;X COM ECOMMERCE E NEGOCIOS DIGITAIS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
10840;SANTANA MODA CASA LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10840\Saida\2024\Maio
10841;J VARIEDADE LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10842\Saida\2024\Maio
10842;J. F. MIGUEL COSMETICOS E ALIMENTICIOS;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10842\Saida\2024\Maio
10843;CAMILLA RODRIGUES ALMEIDA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
10844;MIQUELE GATTO RIBEIRO 11003256899;C:\Troca de arquivos Unico\TI\Gabriel
10845;SAMURAI SERVICOS E COMERCIO DE AUTO PECAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10845\Saida\2024\Maio
10846;EVOL COMERCIO DIGITAL LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10846\Saida\2024\Maio
10847;EVOL COMERCIO DIGITAL LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10847\Saida\2024\Maio
10850;MONTE CICLO JB LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10850\Saida\2024\Maio
10852;J UNICA COMERCIO E DESIGN LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10852\Saida\2024\Maio
10853;J UNICA COMERCIO E DESIGN LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10853\Saida\2024\Maio
10854;HENRIQUE SOUZA GOMES;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10854\Saida\2024\Maio
10856;PRINT INDUSTRIAL TEXTIL LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10856\Saida\2024\Maio
10857;PRINT INDUSTRIAL TEXTIL LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10857\Saida\2024\Maio
10859;PRO RACE MOTO STORE LTDA;C:\Troca de arquivos Unico\TI\Gabriel
10860;SUPER COMPRA DO DIA COMERCIO DIGITAL LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20004;Wdl Comercio Saudavel e Magazine Ltda;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20004\Saida\2024\Maio
